,Income (nominal gross earnings),Graduates (bachelor),Social allowances (paid amounts),Labour resources (k),Unemployment rate,Mortal labour accidents,Highway km,Natural gas distribution,Locuinte existente la sfarsitul anului,Lungimea cailor ferate,Populatia deservita de sistemul public de alimentare cu apa,Rata criminalitatii,Sectii sportive,Spitale publice,Suprafata intravilana (hectare),Suprafata spatiilor verzi (hectare),Unitati posta,Unitati invatamant primar si gimnazial
Harghita,-0.929127766993551,-0.47221725740211606,-0.573190156715753,-0.6415613213372586,0.174200402768819,-1.1172573034152797,9.309274333792024e-16,-0.36070260748592736,-0.7018409972121389,-0.3711114816660558,-0.5171999231389994,-1.6150556307741526,0.040080465900371495,-0.5386465509033167,-0.5424791591733387,-0.47764294437135846,-0.7622538583110976,-1.0730613289569728
Hunedoara,-0.6126393844070466,-0.4081588458169319,-0.8945441103242511,-0.34880063636790315,-0.0011536450514490861,1.6109291351569146,-1.0229356511314127,-0.1695797186855606,-0.18091905901939428,0.15142958334588702,0.007021303959455616,-0.12365605695008496,-0.16666944869882955,0.08922366180607096,0.389343604337194,0.3240090431252388,0.8176905025519047,1.5043728517792245
Iasi,0.8520394094235206,1.1954367241988455,1.0599569560058804,1.149606771880505,-0.1765076928717172,-0.5109936503992365,9.309274333792024e-16,-0.07643724315015273,0.8266819772408561,0.16417448737056856,0.41917676154482714,-1.533335106181053,0.23304705285962582,1.2193900446829686,-0.21705037807388466,0.2168508248304314,1.1780286901171508,-1.172193412831442
Ilfov,1.8015045571830341,-0.5068087996581155,-1.310942091201349,0.0741369385409217,-1.7108556112990614,-1.1172573034152797,0.02519545938747432,0.1365251763637013,-0.3200523581142109,-0.5431676859992565,-0.6384568575429782,-1.369894056994854,-0.14599445723890944,-0.6642205934451941,1.2440324158143596,-0.5848011626661659,-2.3421982191740995,0.18261173345296947
Maramures,-0.6469869608117835,-0.344313962270365,-0.2525201540640484,-0.07471511704387264,-0.6148928124223868,0.09527000261680671,9.309274333792024e-16,-0.2806617331192116,-0.13627138333943045,-0.3711114816660558,-0.2556503766835133,1.3881736480222577,-0.0908611466791225,-0.16192442327768408,3.2668862446563627,2.0724513644164637,-0.40191567074585144,-0.7426210493754091
Mehedinti,-0.6150927827216707,-0.4399745235709067,0.1856165506034058,-0.8530301087916711,2.1469334407468335,0.0,9.309274333792024e-16,-0.4795168532492589,-0.7329826295416894,-0.9000249986903394,-0.6317757296503997,1.3677435168739827,-0.848944166876193,-0.6642205934451941,-1.1082343858643582,-0.304019502070911,0.29104238226423723,0.9426243764905661
Mures,0.14300729649716565,-0.1448787742018249,0.8707367265411313,0.1757518104346004,-0.22034620482678402,-0.20786182389121488,9.309274333792024e-16,-0.03286616195259047,0.07539617015167127,0.10682241925950166,0.03541425188747401,-1.2677434012534794,0.2537220443195459,-0.03635038073580657,0.6926202793774785,0.032375917386205946,0.8731271467927118,-0.18087257408675067
Neamt,-0.6936015287896408,-0.5004029584995972,0.3920154827465772,-0.22796132925109605,0.21803891472388584,-0.5109936503992365,9.309274333792024e-16,-0.29013646893529066,0.0016716349565187797,-0.5877748500856418,-0.3128644553216159,0.5505382709429868,-0.5732776140772583,-0.5386465509033167,-0.9147620351029786,-0.4369499500821911,0.013859161060201774,0.6452281248671587
Olt,-0.08270534844824841,-0.4890859724528812,0.5083966914672632,-0.3251820445223455,1.2701632016454936,-0.20786182389121488,9.309274333792024e-16,-0.2528790552692475,-0.2538662679785518,-0.1799379212958328,-0.5693717803951892,-1.717206286515527,-0.32517771655821703,-0.5386465509033167,-0.32557976099686614,-0.3704847260765511,0.8176905025519047,1.4052407679047554
Prahova,0.5551782133540086,-0.2492939850856751,-0.15374235261313698,0.8107074423756412,-0.6148928124223868,0.3984018291248283,-1.6125094007982865,0.12128090868196514,0.8461313274373148,-0.6578718222213903,0.9593035025046748,-1.8806473357017264,0.743030175537655,0.8426679170573361,1.2159837059840441,0.3592763048425172,0.5405072813478692,-0.6434889655009399
Salaj,-0.6445335624971594,-0.5008300145768316,-0.5820564583556505,-0.9799113812643185,0.08652337885868495,0.0,9.309274333792024e-16,-0.3902044999688873,-0.9700914229650447,-0.5240503299622342,-0.7134848164073699,-0.532258679915583,-0.7455692095765925,-0.6642205934451941,-1.1891931619654956,-0.6119298255256108,-0.31876070438464077,-1.0730613289569728
Satu Mare,-0.5046898585635877,-0.44936975727006706,-0.3007554511805614,-0.5196234750648443,-0.5710543004673198,0.09527000261680671,9.309274333792024e-16,-0.3010551756623342,-0.6157845051688572,-0.30101450953030734,-0.37595866475136347,-0.7569901225466068,-0.3596360356580839,-0.6642205934451941,-0.03298071981244028,-0.4166034529376074,-1.0117187573947295,-0.3791367418356889
Sibiu,0.7857976549286708,0.0058720210619752165,-0.48943402566134625,-0.2999156439433768,-0.9217623961078558,0.0,0.02519545938747432,0.0736489239547404,-0.3309673140113076,-0.7662035064311833,-0.05170617933939678,0.44838761520161224,-0.1804527763387763,-0.03635038073580657,0.1552324978557552,-0.17380192034557543,-0.18016909378262305,1.4052407679047554
Suceava,-0.6715209439580242,-0.2217488681040459,0.9380837302685001,0.4097406505789631,0.39339296254415396,0.09527000261680671,9.309274333792024e-16,-0.31463739471488106,0.3865209961086772,1.6617007102706485,-0.4219698576690376,0.42795748405333733,-0.20801943161866976,-0.03635038073580657,0.8284015337833233,-0.07613873405157372,1.5660851998028005,0.34783187324375137
Teleorman,-0.6886947321603927,-0.47926368267648634,1.3523062629739346,-0.604210990046609,2.4538030244323017,-1.1172573034152797,9.309274333792024e-16,-0.42086665060317935,-0.4085541889415603,-0.24366244141924048,-0.8223798185946386,0.7752697135740106,-0.4009860185779241,-0.2874984658195616,-1.009107695441312,-0.4369499500821911,-0.04157748318060532,0.7443602087416279
Timis,1.5856055054961162,0.7660318385394942,-1.2607719865343343,0.930448210336841,-1.5355015634787936,-0.20786182389121488,3.4971297629812876,0.10550309163136823,0.615233046753628,3.375890301590315,0.8760625549325552,0.32580682831196284,1.1358550132761371,0.7170938745154586,0.39699325247273454,0.37555350255818415,1.7878317767660288,-0.3130486859193762
Valcea,-0.7672034782283628,-0.48460188364191836,-0.6744520148824686,-0.5328059449321322,-0.13266918091664998,-0.20786182389121488,9.309274333792024e-16,-0.20192297328364414,-0.3142224113442483,-0.6514993702090495,-0.3530435034490834,-0.3688176307293837,-0.3527443718381105,-0.4130725083614391,0.03220065700914478,-0.40303912150788496,0.6513805698294833,-0.6104449375427835
Vrancea,-0.9364879619374232,-0.5010435426154489,0.17846330641892735,-0.6267310427365597,0.21803891472388584,0.7015336556328499,9.309274333792024e-16,-0.3428710488170965,-0.5208211500047991,-0.664244274233731,-0.5042215553653498,-0.18494645039490964,-0.662869243736912,-0.4130725083614391,-1.2368440951431336,-0.7055237123906958,-0.734535536190694,3.586146613143076
